label,n,time_ms,comparisons,swaps,array_accesses,allocations,method_calls
build_heap:random,1000,4,0,723,2000,1,0
insert_n:random,1000,1,2175,1186,1000,7,0
increase_key_batch:random,1000,2,100,0,300,0,0
extract_all:random,1000,1,0,8354,1000,0,0
build_heap:random,1000,0,0,723,2000,1,0
insert_n:random,1000,0,2175,1186,1000,7,0
increase_key_batch:random,1000,3,100,0,300,0,0
extract_all:random,1000,1,0,8354,1000,0,0
build_heap:random,1000,0,0,723,2000,1,0
insert_n:random,1000,0,2175,1186,1000,7,0
increase_key_batch:random,1000,3,100,0,300,0,0
extract_all:random,1000,0,0,8354,1000,0,0
build_heap:random,1000,2,0,737,2000,1,0
insert_n:random,1000,1,2225,1231,1000,7,0
increase_key_batch:random,1000,5,100,0,300,0,0
extract_all:random,1000,4,0,8341,1000,0,0
build_heap:random,1000,0,0,737,2000,1,0
insert_n:random,1000,0,2225,1231,1000,7,0
increase_key_batch:random,1000,6,100,0,300,0,0
extract_all:random,1000,0,0,8341,1000,0,0
build_heap:random,1000,0,0,737,2000,1,0
insert_n:random,1000,1,2225,1231,1000,7,0
increase_key_batch:random,1000,6,100,0,300,0,0
extract_all:random,1000,1,0,8341,1000,0,0
build_heap:random,1000,3,0,729,2000,1,0
insert_n:random,1000,2,2190,1201,1000,7,0
increase_key_batch:random,1000,4,100,0,300,0,0
extract_all:random,1000,4,0,8301,1000,0,0
build_heap:random,1000,0,0,729,2000,1,0
insert_n:random,1000,1,2190,1201,1000,7,0
increase_key_batch:random,1000,3,100,0,300,0,0
extract_all:random,1000,0,0,8301,1000,0,0
build_heap:random,1000,1,0,729,2000,1,0
insert_n:random,1000,0,2190,1201,1000,7,0
increase_key_batch:random,1000,3,100,0,300,0,0
extract_all:random,1000,1,0,8301,1000,0,0
